"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2015-06-12",184.050003,184.820007,182.759995,183.630005,1680000,176.362564
"2015-06-15",182.529999,183.270004,181.449997,182.660004,1408000,175.430908
"2015-06-16",182.020004,183.5,179.839996,182.130005,2428100,175.161621
"2015-06-17",178.029999,178.880005,174.509995,176.729996,4032200,169.968246
"2015-06-18",176.559998,180.190002,176.559998,178.389999,2986600,171.564697
"2015-06-19",177.360001,178.339996,175.940002,175.940002,2448700,169.208466
"2015-06-22",176.759995,177.649994,176,176.279999,1732600,169.535461
"2015-06-23",176.699997,176.830002,174.660004,175.270004,1532500,168.564102
"2015-06-24",175,175.779999,172.419998,173.419998,1750000,166.784866
"2015-06-25",173.630005,174.020004,172.589996,172.800003,1527400,166.188599
"2015-06-26",173.669998,174.110001,173.169998,173.660004,1678900,167.015701
"2015-06-29",171.619995,173.119995,170.690002,171.020004,2335800,164.47673
"2015-06-30",172.320007,172.839996,169.960007,170.399994,1551800,163.880417
"2015-07-01",172.110001,172.460007,169.639999,169.809998,1412100,163.313004
"2015-07-02",170.199997,171.350006,169.949997,171.130005,1182000,164.582504
"2015-07-06",170,171.220001,167.889999,168.75,1945300,162.293533
"2015-07-07",169.369995,170.729996,167.759995,170.339996,1754300,163.822708
"2015-07-08",168.320007,169.979996,166.669998,166.990005,1338400,160.600906
"2015-07-09",168.779999,169.800003,167.440002,167.710007,1321300,161.29335
"2015-07-10",170,170.449997,167.880005,168.460007,1490300,162.014648
"2015-07-13",169.690002,171.240005,169.160004,170.970001,1327400,164.428604
"2015-07-14",171,171.889999,170.089996,171.240005,1207400,164.688309
"2015-07-15",171.240005,171.979996,169.029999,169.130005,1389600,162.659012
"2015-07-16",170.259995,170.509995,169.440002,169.490005,1043300,163.005249
"2015-07-17",169.490005,170.809998,169.320007,170.229996,1394000,163.716919
"2015-07-20",170.600006,170.600006,169.5,170.210007,1016600,163.697708
"2015-07-21",170.399994,171.970001,169.949997,170.559998,933600,164.034302
"2015-07-22",170.710007,171,167.589996,168.5,1311700,162.053116
"2015-07-23",168.850006,168.889999,166.570007,166.860001,1076600,160.475876
"2015-07-24",166.960007,167.570007,163.259995,164.110001,1579700,157.83107
"2015-07-27",162.75,165.119995,162.380005,164.740005,2177100,158.437012
"2015-07-28",166.440002,169.649994,166.190002,169.429993,1854200,162.94751
"2015-07-29",169.300003,172.600006,169.139999,171.889999,1261800,165.3134
"2015-07-30",170.509995,171.729996,170.160004,171.270004,928000,164.717117
"2015-07-31",169.009995,172.460007,167.410004,171.419998,1199700,164.861404
"2015-08-03",171.460007,171.960007,169.559998,170.809998,793000,164.274765
"2015-08-04",170.970001,171.869995,169.850006,170.089996,912700,163.582275
"2015-08-05",170.779999,173,170.779999,171.289993,848700,164.736359
"2015-08-06",172.139999,172.190002,169.490005,169.600006,1000800,163.111069
"2015-08-07",169.110001,169.369995,166.029999,166.990005,1410600,160.600906
"2015-08-10",168.380005,169.990005,168.259995,169.399994,1059400,162.918686
"2015-08-11",168.229996,171.080002,167.699997,168.429993,1538900,161.985779
"2015-08-12",167.800003,167.800003,164.190002,165.309998,2306500,158.985184
"2015-08-13",165.630005,166.080002,163.559998,163.600006,1924100,157.340622
"2015-08-14",164.369995,165.399994,163.5,164.809998,2733700,158.504288
"2015-08-17",164.190002,165.199997,162.630005,164.970001,1512100,158.658188
"2015-08-18",165,167.309998,164.759995,165.660004,1473300,159.321777
"2015-08-19",164.869995,165.460007,163.380005,164.949997,1499300,158.638962
"2015-08-20",163.690002,164,160.130005,160.449997,1962500,154.311111
"2015-08-21",159,160.199997,155.830002,156.029999,2502600,150.060226
"2015-08-24",146.509995,151.830002,130.130005,148.369995,4013500,142.693298
"2015-08-25",152.759995,153.050003,145,145.059998,2917500,139.509933
"2015-08-26",148,149.350006,144.75,148.429993,3003500,142.751007
"2015-08-27",150.809998,153.539993,149.759995,153.039993,1962900,147.184616
"2015-08-28",152.710007,153.75,151.75,152.5,1302600,146.665298
"2015-08-31",151.949997,152,150.199997,150.610001,1625700,144.847595
"2015-09-01",147.979996,150.990005,147.509995,148.029999,2839000,142.366348
"2015-09-02",150,150.880005,148.080002,150.820007,1745300,145.049591
"2015-09-03",152.009995,153.279999,150.660004,151.210007,1781300,145.424652
"2015-09-04",149.490005,149.899994,147.320007,148.610001,1480200,142.924118
"2015-09-08",151.009995,153.529999,150.460007,153.289993,1708000,147.673477
"2015-09-09",154.679993,155,151.270004,151.559998,1891900,146.006866
"2015-09-10",151.160004,151.820007,149.240005,149.570007,2362900,144.089798
"2015-09-11",149,151.330002,147.580002,151.080002,2380600,145.544479
"2015-09-14",150.740005,150.929993,149.210007,150.229996,2595200,144.725632
"2015-09-15",150.949997,155.630005,150.630005,154,3237300,148.357498
"2015-09-16",151.410004,152.179993,146.660004,149.630005,6205400,144.147629
"2015-09-17",149.289993,151.869995,148.350006,149.490005,2879000,144.012726
"2015-09-18",147.800003,148.229996,144.880005,145.300003,3603700,139.976212
"2015-09-21",145.789993,146.809998,144.600006,146.009995,2444600,140.660202
"2015-09-22",144.179993,144.520004,142.449997,143.970001,2425600,138.694977
"2015-09-23",144.169998,144.820007,143.020004,143.649994,1651800,138.386734
"2015-09-24",142.229996,142.869995,141.100006,142.440002,2097400,137.221039
"2015-09-25",143.520004,145.770004,142.860001,144.449997,1731400,139.157379
"2015-09-28",143,143.639999,140.580002,140.740005,1765200,135.583328
"2015-09-29",140.740005,142.210007,140.009995,141.929993,1444200,136.729691
"2015-09-30",143.529999,144.600006,142.919998,143.979996,1711100,138.70462
"2015-10-01",143.880005,145.419998,143.630005,144.710007,1639200,139.407852
"2015-10-02",142.350006,145.580002,141.720001,145.520004,1308200,140.188187
"2015-10-05",146.059998,150.419998,146.059998,149.919998,1727100,144.426956
"2015-10-06",151.050003,151.910004,149.770004,151.509995,2198000,145.958679
"2015-10-07",152.070007,154.600006,151.690002,152.970001,2394000,147.365204
"2015-10-08",152.610001,155.990005,152.339996,155.550003,1738600,149.850693
"2015-10-09",155.729996,157.199997,155.229996,155.330002,1803500,149.638748
"2015-10-12",155.160004,155.339996,153.600006,154.419998,1245300,148.76207
"2015-10-13",153.550003,153.619995,151.360001,151.479996,1456900,145.929779
"2015-10-14",151.360001,152.110001,149.910004,150.729996,1131800,145.207291
"2015-10-15",151.740005,152.369995,149.75,152.110001,1004900,146.536728
"2015-10-16",153.020004,154.020004,151.190002,152.479996,1008700,146.893158
"2015-10-19",151.600006,152.809998,151.5,152.380005,624600,146.79686
"2015-10-20",152.020004,154.110001,151.5,154,1386900,148.357498
"2015-10-21",154.639999,157.550003,154.559998,155.979996,1592100,150.264923
"2015-10-22",156.460007,160,156.039993,159.720001,2034700,153.867905
"2015-10-23",161,161.699997,158.539993,159.520004,2263200,153.675217
"2015-10-26",160.070007,160.410004,157.710007,157.869995,1686300,152.085678
"2015-10-27",155.5,157.899994,154.729996,155.970001,1974200,150.255295
"2015-10-28",156.669998,157.119995,153.869995,155.270004,1639100,149.580933
"2015-10-29",155,156.789993,154.75,156.389999,1145300,150.659897
"2015-10-30",156.429993,156.559998,154.539993,156.050003,2580700,150.332352
"2015-11-02",156.289993,159.149994,156.289993,158.949997,1617200,153.126083
"2015-11-03",158.339996,159.929993,158.199997,159.119995,1352800,153.289856
"2015-11-04",159.910004,160,158.580002,159,1291000,153.174301
"2015-11-05",159.720001,160.910004,158.679993,160.270004,1659700,154.397736
"2015-11-06",159.089996,162.5,159.089996,162.380005,1835400,156.430435
"2015-11-09",161.5,162.300003,159.330002,160.550003,2059700,154.667496
"2015-11-10",160.699997,162.460007,159.729996,161.5,1627900,155.582687
"2015-11-11",160.009995,162.210007,159,161.029999,1881100,155.129868
"2015-11-12",160.229996,160.600006,158.5,158.789993,1543800,152.971954
"2015-11-13",158.190002,160,157.389999,158.110001,1758100,152.316879
"2015-11-16",157.990005,161.669998,157.990005,161.270004,1835400,155.361099
"2015-11-17",157.990005,163.210007,157.990005,161.410004,1129700,155.495987
"2015-11-18",160.600006,163.110001,160.600006,162.809998,1416700,156.84465
"2015-11-19",163,164.320007,162.179993,163.350006,1066700,157.364899
"2015-11-20",164.080002,164.940002,163.440002,164.139999,1252800,158.125977
"2015-11-23",164.139999,164.759995,162.899994,163.440002,878000,157.451584
"2015-11-24",162.029999,163.820007,161.660004,163.190002,1085200,157.210739
"2015-11-25",163.190002,163.490005,161.770004,162.399994,1053300,156.449707
"2015-11-27",163.399994,164.279999,162.679993,164.089996,561700,158.077759
"2015-11-30",163.600006,164.479996,158.429993,158.539993,2925800,152.73114
