"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2016-07-14",175.100006,176.899994,174.029999,174.190002,596400,158.329498
"2016-07-15",174.990005,176.75,174.240005,175.509995,688000,159.529297
"2016-07-18",175.970001,181.669998,174.970001,178.020004,1309800,161.810806
"2016-07-19",177.729996,180.940002,177.729996,179.350006,531800,163.019669
"2016-07-20",178.830002,186,178.380005,183.669998,1557700,166.94635
"2016-07-21",183.740005,184.630005,181.850006,182.720001,1258500,166.082825
"2016-07-22",187,188.270004,181.770004,187.610001,1331800,170.527588
"2016-07-25",185.919998,190.369995,185.059998,190.259995,1120100,172.936264
"2016-07-26",190.199997,190.580002,188.080002,189.979996,1105700,172.681763
"2016-07-27",189.229996,191.690002,189.139999,190.619995,1042600,173.263504
"2016-07-28",190.619995,193.029999,189.440002,192.380005,936500,174.863266
"2016-07-29",192.899994,193.589996,191.289993,192.360001,961900,174.845108
"2016-08-01",192.360001,194.100006,191.729996,192.130005,826800,174.636017
"2016-08-02",191.669998,192.429993,188.979996,189.380005,647200,172.136429
"2016-08-03",188.990005,189.199997,187.110001,187.830002,754800,170.727539
"2016-08-04",188.339996,189.839996,187.360001,189.210007,630900,171.981888
"2016-08-05",190,191.520004,187.990005,189.559998,633700,172.300018
"2016-08-08",190.649994,190.649994,188.669998,189.559998,391300,172.300018
"2016-08-09",189.919998,189.919998,188.330002,189.240005,449700,172.009155
"2016-08-10",189.820007,189.820007,186.009995,186.779999,752100,169.773163
"2016-08-11",187.610001,189.179993,186.699997,187.119995,634700,170.082199
"2016-08-12",186.059998,187.160004,185.009995,185.970001,619300,169.036911
"2016-08-15",186.369995,186.619995,184.199997,184.860001,1169500,168.027969
"2016-08-16",183.710007,184.809998,182.649994,183.020004,902500,166.355515
"2016-08-17",183.089996,183.940002,180.919998,182.130005,901500,165.54657
"2016-08-18",182.429993,185.119995,181.110001,184.580002,650900,167.773453
"2016-08-19",184.009995,185.050003,182.059998,182.869995,773800,166.219147
"2016-08-22",182.889999,184.220001,181.710007,183.759995,425900,167.028107
"2016-08-23",185.149994,187.130005,184.820007,186.240005,666200,169.282303
"2016-08-24",184.899994,185.240005,180.649994,181.570007,754600,165.928482
"2016-08-25",181.289993,181.850006,179.539993,180.580002,711000,165.023758
"2016-08-26",181.089996,182.149994,179.600006,181.020004,892000,165.425873
"2016-08-29",181,182.630005,181,181.339996,489200,165.718323
"2016-08-30",181.339996,181.869995,178.649994,179.25,471500,163.80835
"2016-08-31",179.029999,180.009995,177.5,178.639999,685300,163.2509
"2016-09-01",178.589996,178.899994,176.339996,177.649994,630100,162.346176
"2016-09-02",178.929993,179.490005,177.149994,177.979996,430400,162.647736
"2016-09-06",178.759995,178.990005,177.110001,178.610001,463800,163.22348
"2016-09-07",178.610001,182.440002,178.100006,182.25,1105900,166.549896
"2016-09-08",181.460007,181.929993,174.630005,174.800003,1249700,159.741684
"2016-09-09",172,172.529999,165.899994,166.720001,2026400,152.357773
"2016-09-12",164.75,170.5,164.669998,169.919998,1021800,155.282074
"2016-09-13",168.25,169.350006,165.880005,166.720001,759100,152.357773
"2016-09-14",166.520004,167.600006,163.869995,164.330002,1058600,150.173645
"2016-09-15",164.119995,165.270004,163.009995,165.100006,724700,150.877304
"2016-09-16",164.419998,164.610001,160.839996,162.75,1343000,148.729752
"2016-09-19",163.059998,165.130005,161.440002,161.830002,949000,147.889023
"2016-09-20",162.509995,162.850006,159.550003,160.440002,751900,146.618759
"2016-09-21",160.479996,163.160004,160.309998,162.690002,993900,148.674927
"2016-09-22",164.449997,165.139999,163.460007,164.350006,661200,150.191925
"2016-09-23",163.639999,163.979996,161.820007,162.169998,635100,148.199707
"2016-09-26",161.630005,161.830002,159.759995,160.610001,569400,146.774109
"2016-09-27",160.919998,163.479996,160.850006,162.809998,612500,148.784592
"2016-09-28",162.619995,163.110001,159.729996,162.289993,865500,148.309372
"2016-09-29",161.600006,163.360001,159.869995,160.350006,588100,146.536499
"2016-09-30",160.669998,163.059998,160.470001,162.160004,628200,148.190567
"2016-10-03",161.839996,163.610001,161.059998,162.070007,494300,148.108322
"2016-10-04",162.199997,163.559998,161.309998,162.270004,574500,148.291061
"2016-10-05",162.839996,165.050003,162.839996,164.100006,575000,149.963455
"2016-10-06",163.809998,166.990005,163.5,166.259995,753900,151.937347
"2016-10-07",166.550003,166.970001,162.619995,163.490005,588300,149.406021
"2016-10-10",164.520004,165.229996,161.339996,161.559998,596800,147.642258
"2016-10-11",161.690002,161.779999,159.130005,161.029999,961700,147.157913
"2016-10-12",161.580002,161.580002,160.149994,160.830002,564700,146.975143
"2016-10-13",159.360001,161.399994,158.630005,160.779999,623600,146.929443
"2016-10-14",162.360001,163.669998,160.5,160.75,542400,146.902023
"2016-10-17",158.860001,166.080002,158.729996,163.009995,1447300,148.967331
"2016-10-18",164.25,164.25,160.669998,162.289993,1102600,148.309372
"2016-10-19",162.759995,167.240005,162.190002,166.470001,1039400,152.129272
"2016-10-20",165.779999,167.259995,164.289993,166.070007,700300,151.763748
"2016-10-21",164.880005,167.350006,163.429993,167.179993,892600,152.778122
"2016-10-24",167.830002,172.050003,167.830002,170.460007,1416500,155.775574
"2016-10-25",156.490005,159.789993,148.539993,152.089996,5778900,138.988098
"2016-10-26",151.979996,153.380005,148.979996,149.520004,1826700,136.639435
"2016-10-27",149.770004,150,145.910004,147.690002,1518000,134.967102
"2016-10-28",148.759995,152.800003,148.320007,150.820007,1365900,137.827454
"2016-10-31",151.690002,151.690002,149.410004,149.820007,1263500,136.91362
"2016-11-01",150.240005,151.899994,149.529999,150.570007,1210900,137.599014
"2016-11-02",150.419998,153.710007,149.539993,150.759995,1145500,137.772614
"2016-11-03",151.779999,151.779999,150.289993,150.990005,722700,137.982849
"2016-11-04",152.979996,154.470001,151.229996,152.789993,978300,139.627777
"2016-11-07",155,156.059998,154.139999,154.929993,726600,141.583374
"2016-11-08",154.800003,158.899994,154.169998,157.929993,1022100,144.324951
"2016-11-09",156.929993,161.789993,154.300003,160.740005,1453100,146.892899
"2016-11-10",161.419998,165.839996,160.389999,165,1410500,150.785919
"2016-11-11",164.720001,165.770004,161.550003,162.949997,803000,148.912506
