"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2010-09-16",87.220001,87.220001,86.07,86.919998,319100,69.095505
"2010-09-17",87.370003,87.830002,86.5,86.699997,754600,68.920616
"2010-09-20",87.059998,95,86.580002,91,1996400,72.338806
"2010-09-21",91.300003,92.190002,88.589996,88.690002,1065000,70.502548
"2010-09-22",88.370003,90.93,87.400002,88.940002,1000700,70.701294
"2010-09-23",87.540001,90.75,87.540001,88.169998,832600,70.08918
"2010-09-24",89.620003,90.669998,87.779999,90.620003,1066300,72.036781
"2010-09-27",86.110001,86.870003,84,84.239998,1921100,66.965088
"2010-09-28",83.959999,84.379997,81.080002,82.5,1991100,65.581902
"2010-09-29",81.879997,82.709999,81.279999,81.809998,880800,65.033401
"2010-09-30",82.360001,82.629997,81.309998,81.809998,1094600,65.033401
"2010-10-01",83.059998,83.989998,81,81.910004,706300,65.112869
"2010-10-04",81.860001,82.610001,81.150002,82.150002,766900,65.30368
"2010-10-05",83.339996,85.260002,82.349998,83.089996,1673400,66.050911
"2010-10-06",79.830002,80.199997,77.139999,78.910004,11228600,62.728119
"2010-10-07",78.580002,78.940002,76.160004,76.870003,16449400,61.106434
"2010-10-08",76.839996,77.419998,76.220001,76.839996,3610800,61.082581
"2010-10-11",76.82,77.830002,76.709999,77.220001,2162700,61.384663
"2010-10-12",77.419998,77.75,76.510002,77.550003,2250800,61.647003
"2010-10-13",78.040001,78.18,76.580002,76.779999,2103700,61.034882
"2010-10-14",76.760002,76.940002,73.660004,75.660004,3750000,60.144558
"2010-10-15",76.43,76.43,73.510002,75.220001,2758000,59.794804
"2010-10-18",75.139999,76.790001,75,76.790001,1553300,61.042854
"2010-10-19",75.93,77.18,75.43,75.730003,1774100,60.200211
"2010-10-20",75.550003,76.389999,73.690002,74.07,3343700,58.880627
"2010-10-21",74.730003,74.730003,72.029999,72.959999,2240100,57.998234
"2010-10-22",73.370003,74.68,72.989998,74.440002,1674400,59.174759
"2010-10-25",74.629997,74.980003,73.889999,74.580002,1061400,59.286053
"2010-10-26",74.279999,75.660004,74.279999,75.169998,1195000,59.75507
"2010-10-27",74.620003,76.120003,74.550003,74.949997,1417100,59.580162
"2010-10-28",75.57,75.57,74.010002,74.660004,1031400,59.349632
"2010-10-29",74.370003,74.82,73.489998,74.75,1047300,59.421188
"2010-11-01",76.019997,78.360001,75.980003,77.470001,6236000,61.583393
"2010-11-02",78.25,78.25,76.849998,77.650002,2025100,61.726479
"2010-11-03",78.220001,80.739998,77.910004,80.68,4020600,64.135124
"2010-11-04",81.739998,83.199997,80.580002,82.489998,2186800,65.573967
"2010-11-05",82.599998,84.489998,82.260002,82.699997,2729000,65.740883
"2010-11-08",82.239998,82.610001,81.540001,82.220001,1442500,65.359314
"2010-11-09",82.870003,82.870003,79.949997,80.32,1986300,63.848938
"2010-11-10",80.870003,82.730003,80.370003,82.260002,9431900,65.391106
"2010-11-11",81.720001,83,81.190002,82.089996,2609000,65.255989
"2010-11-12",81.5,81.989998,80.550003,80.980003,1834700,64.373619
"2010-11-15",82.199997,82.349998,81.059998,81.290001,941200,64.620049
"2010-11-16",80.720001,81.169998,78.779999,79.760002,1584400,63.403812
"2010-11-17",80.160004,80.279999,79.169998,79.540001,1267000,63.228886
"2010-11-18",80.419998,80.68,77.68,77.779999,3502900,61.829819
"2010-11-19",77.529999,78.699997,77.230003,77.800003,2969300,61.845718
"2010-11-22",76.940002,78.050003,76.480003,76.860001,2640000,61.098492
"2010-11-23",76.220001,77.440002,75.870003,77.110001,1610400,61.297226
"2010-11-24",77.510002,77.93,76.480003,77.32,822900,61.464165
"2010-11-26",76.660004,77.589996,76.260002,76.449997,330100,60.772564
"2010-11-29",75.660004,77.379997,75.349998,76.989998,747500,61.767399
"2010-11-30",76.620003,77.199997,75.970001,76.959999,1466100,61.743305
"2010-12-01",78.019997,78.989998,77.25,78.5,1113100,62.97884
"2010-12-02",78.639999,80.75,78.480003,80.639999,1056400,64.695686
"2010-12-03",80.279999,81.07,79.220001,80.860001,849100,64.872215
"2010-12-06",80.57,80.839996,79.449997,79.639999,565700,63.893436
"2010-12-07",80,80.849998,79.139999,79.470001,754400,63.757038
"2010-12-08",79.599998,81.980003,79.449997,81.339996,1750600,65.257294
"2010-12-09",81.309998,83.410004,81.309998,83.239998,1132600,66.781624
"2010-12-10",83.870003,86.199997,83.82,85.019997,1804400,68.209694
"2010-12-13",85.080002,85.760002,83.019997,85.330002,1722700,68.458397
"2010-12-14",85.269997,85.93,83.470001,83.860001,820000,67.279045
"2010-12-15",83.5,84.099998,81.860001,82.129997,836700,65.891098
"2010-12-16",82.190002,83.410004,81.110001,82.489998,1048600,66.179955
"2010-12-17",82.5,83.379997,82.290001,82.75,1058300,66.388481
"2010-12-20",82.949997,84.690002,82.709999,84.360001,907600,67.680176
"2010-12-21",84.629997,86.25,84.330002,85.739998,724300,68.7873
"2010-12-22",85.760002,86.839996,85.32,86.160004,756000,69.124275
"2010-12-23",85.980003,86.290001,85.010002,85.150002,480000,68.31398
"2010-12-27",84.940002,86.230003,84.470001,86.07,396600,69.052063
"2010-12-28",86.32,87.169998,85.889999,86.779999,446300,69.621681
"2010-12-29",87.139999,87.870003,86.510002,87.379997,706800,70.103065
"2010-12-30",87.300003,87.470001,86.199997,86.43,630700,69.340874
"2010-12-31",86.440002,87.389999,85.809998,87.050003,676400,69.838326
"2011-01-03",87.669998,88.879997,87.559998,87.900002,762600,70.520226
"2011-01-04",88.43,89.330002,86.449997,87,829900,69.798172
"2011-01-05",86.82,88.32,86.699997,88.029999,796200,70.624527
"2011-01-06",87.93,88.459999,87.480003,87.540001,846300,70.231422
