"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2002-03-14",30.336773,30.418251,29.837046,30.336773,5073000,17.241425
"2002-03-15",30.581205,31.450298,30.526888,31.395981,9459000,17.843405
"2002-03-18",31.450298,31.526344,30.92341,31.162413,3920000,17.710659
"2002-03-19",30.92341,31.233025,30.869093,30.999456,4844500,17.618052
"2002-03-20",31.07007,31.195004,30.798479,30.836502,3936000,17.525438
"2002-03-21",30.945139,31.618685,30.733297,31.450298,4734100,17.874279
"2002-03-22",31.477457,31.499186,31.015753,31.395981,5123500,17.843405
"2002-03-25",31.395981,31.803368,31.347094,31.651276,6193100,17.988499
"2002-03-26",31.656708,32.178165,31.645845,32.047802,5538000,18.213852
"2002-03-27",32.156437,32.379143,31.971754,32.373711,6994100,18.399082
"2002-03-28",32.373711,32.536663,32.107552,32.330254,4731300,18.374384
"2002-04-01",32.34655,32.351982,31.90114,31.933731,3804200,18.149031
"2002-04-02",31.857685,31.857685,31.401413,31.450298,6116500,17.874279
"2002-04-03",31.12439,31.287344,30.765888,30.928843,7495400,17.577911
"2002-04-04",31.743618,31.797935,31.200434,31.428572,6488700,17.861931
"2002-04-05",31.477457,31.591526,31.091799,31.314503,3365300,17.797096
"2002-04-08",31.314503,31.863117,31.314503,31.825094,4589700,18.087286
"2002-04-09",31.98805,32.156437,31.776209,32.047802,4714600,18.213852
"2002-04-10",31.830526,32.400867,31.787073,32.308529,3513500,18.36203
"2002-04-11",32.362846,32.504074,31.341661,31.450298,4488300,17.874279
"2002-04-12",31.178707,31.434004,30.983162,31.097229,4796100,17.673616
"2002-04-15",30.961433,31.330799,30.91798,31.037479,3083300,17.639658
"2002-04-16",31.037479,31.368822,30.77132,31.243889,4740700,17.756968
"2002-04-17",31.162413,31.260185,30.689842,30.689842,4547000,17.442081
"2002-04-18",30.689842,31.694731,30.559479,31.477457,7254000,17.889715
"2002-04-19",31.912004,31.912004,31.466595,31.803368,6435700,18.074938
"2002-04-22",31.803368,31.884846,31.12439,31.12439,4055100,17.689047
"2002-04-23",31.287344,31.314503,30.749592,30.755024,5499900,17.479122
"2002-04-24",31.097229,31.227594,30.613796,30.613796,4624500,17.398865
"2002-04-25",30.581205,30.907116,30.429115,30.499729,3867500,17.334032
"2002-04-26",30.418251,30.961433,30.363934,30.765888,10839900,17.4853
"2002-04-29",30.765888,30.765888,30.043455,30.065182,4163200,17.087067
"2002-04-30",30.14666,31.184139,30.048887,30.907116,5609500,17.565567
"2002-05-01",30.907116,31.178707,30.597502,31.12439,3486800,17.689047
"2002-05-02",31.12439,31.12982,30.472569,30.961433,4087000,17.596436
"2002-05-03",31.07007,31.07007,30.418251,30.91798,4225000,17.571743
"2002-05-06",30.907116,31.097229,30.619228,30.635525,3605500,17.411211
"2002-05-07",30.825638,30.836502,30.162954,30.200977,5508200,17.164244
"2002-05-08",30.363934,30.494297,30.097773,30.152092,5937200,17.136465
"2002-05-09",30.016296,30.184683,29.46768,29.864204,4238900,16.972845
"2002-05-10",30,30.228136,29.679522,29.684954,5025700,16.87097
"2002-05-13",29.820749,29.902227,29.657795,29.826181,3057100,16.951233
"2002-05-14",29.85334,30.09234,29.657795,29.858772,5044700,16.969755
"2002-05-15",29.875069,29.951113,28.712656,28.973385,12142600,16.466562
"2002-05-16",28.652906,28.87561,28.614883,28.690929,7684100,16.306034
"2002-05-17",28.897339,29.190657,28.745247,29.060293,5559200,16.515955
"2002-05-20",29.005976,29.054861,28.707224,28.761543,3357200,16.346165
"2002-05-21",28.897339,28.935362,28.565996,28.799566,3909700,16.367777
"2002-05-22",28.571428,28.690929,28.028246,28.196632,9020300,16.02511
"2002-05-23",28.332428,28.843019,28.267246,28.745247,4402500,16.336903
"2002-05-24",28.473656,29.049429,28.462791,28.669201,3256900,16.293684
"2002-05-28",28.39761,28.832157,28.033678,28.403042,5331100,16.142414
"2002-05-29",28.403042,29.152634,28.39761,29.087452,6792100,16.531395
"2002-05-30",28.517111,29.185225,28.511679,29.049429,12057400,16.509777
"2002-05-31",29.103748,29.440521,29.065725,29.16893,6535100,16.577696
"2002-06-03",29.250408,29.331884,28.674633,28.680065,4993700,16.29985
"2002-06-04",28.680065,28.788702,28.136883,28.392178,4766100,16.136246
"2002-06-05",28.527973,28.625748,28.256382,28.288973,4447100,16.077587
"2002-06-06",28.24552,28.24552,27.159153,27.468767,8496000,15.611434
"2002-06-07",27.294949,27.50679,26.871265,27.376427,5856200,15.558957
"2002-06-10",27.512222,28.24552,27.457903,27.919609,4548100,15.867672
"2002-06-11",27.919609,27.919609,26.469311,26.518196,6889700,15.071189
"2002-06-12",26.137968,26.1434,24.910376,25.31233,13296900,14.385857
"2002-06-13",25.095057,25.567627,24.86692,24.980989,5252100,14.197548
"2002-06-14",24.68767,25.475285,24.470396,25.236284,5096000,14.34264
"2002-06-17",25.529604,25.926126,25.420967,25.893536,4907100,14.71618
"2002-06-18",25.871809,26.583378,25.529604,26.425856,6875500,15.018715
"2002-06-19",26.29006,26.833242,26.29006,26.398697,5915600,15.003276
"2002-06-20",26.496469,26.550787,25.583921,25.730581,4646400,14.623565
"2002-06-21",25.296034,25.638241,24.747419,24.915806,6805400,14.160499
"2002-06-24",25.040739,25.171103,24.122759,24.807171,6008600,14.09876
"2002-06-25",24.904943,25.31233,24.215101,24.291145,4285800,13.805489
"2002-06-26",24.171646,24.225964,23.574144,23.94894,7777300,13.611002
"2002-06-27",24.220531,24.551874,23.959805,24.497555,3710500,13.922795
"2002-06-28",24.573601,24.910376,24.063009,24.144487,6313300,13.72214
