"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2009-07-24",10.905,11.295,10.9025,11.2825,7548800,11.2825
"2009-07-27",11.2625,11.2825,11.0775,11.135,4354000,11.135
"2009-07-28",10.7975,11.01,10.7525,10.89,6452000,10.89
"2009-07-29",10.805,10.89,10.685,10.7975,4247200,10.7975
"2009-07-30",10.8325,11.125,10.8325,10.9325,6530400,10.9325
"2009-07-31",10.9525,11.04,10.81,10.835,4262400,10.835
"2009-08-03",10.9875,11.175,10.8825,11.165,4036000,11.165
"2009-08-04",11.0575,11.4775,11.01,11.3725,5372400,11.3725
"2009-08-05",11.4275,11.475,11.1625,11.275,6175600,11.275
"2009-08-06",11.2625,11.3825,11.2175,11.3425,5321200,11.3425
"2009-08-07",11.5,11.8075,11.475,11.6825,9013200,11.6825
"2009-08-10",11.6975,11.7925,11.4375,11.4475,5284400,11.4475
"2009-08-11",11.4475,11.5,11.1625,11.1975,3484800,11.1975
"2009-08-12",11.3025,12.125,11.3,12.0275,17748000,12.0275
"2009-08-13",12.02,12.11,11.8275,11.9975,9337200,11.9975
"2009-08-14",12.005,12.0775,11.7025,11.78,4784400,11.78
"2009-08-17",11.6475,11.6475,11.2125,11.235,6581600,11.235
"2009-08-18",11.2925,11.3125,10.9375,11.075,10066800,11.075
"2009-08-19",10.94,11.3025,10.845,11.26,8926400,11.26
"2009-08-20",11.31,11.6575,11.2875,11.545,16437200,11.545
"2009-08-21",12.9125,13.485,12.835,13.4175,38198800,13.4175
"2009-08-24",13.55,13.75,13.05,13.195,17554000,13.195
"2009-08-25",12.8475,13.2475,12.8475,13.075,12275600,13.075
"2009-08-26",13.085,13.25,12.97,13.2175,5698800,13.2175
"2009-08-27",13.1925,13.21,12.9375,13.17,7769200,13.17
"2009-08-28",13.195,13.355,12.9875,13.0625,7386000,13.0625
"2009-08-31",12.95,12.9925,12.82,12.9675,6858000,12.9675
"2009-09-01",12.875,13.2225,12.69,12.785,9772800,12.785
"2009-09-02",12.725,12.945,12.7175,12.89,5473200,12.89
"2009-09-03",13.015,13.115,12.8125,13.0875,6490800,13.0875
"2009-09-04",13.075,13.26,13.0475,13.2,5768400,13.2
"2009-09-08",13.27,13.6125,13.2275,13.6125,7606800,13.6125
"2009-09-09",13.655,13.9775,13.51,13.87,8786400,13.87
"2009-09-10",13.925,14.105,13.75,14.105,8985200,14.105
"2009-09-11",14.1825,14.76,14.1825,14.48,13307600,14.48
"2009-09-14",14.3825,14.48,14.205,14.3675,6185600,14.3675
"2009-09-15",14.2825,14.4375,14.13,14.1825,11738800,14.1825
"2009-09-16",14.2825,14.3575,14.1125,14.3375,8409600,14.3375
"2009-09-17",14.3325,14.7125,14.2625,14.635,11329200,14.635
"2009-09-18",14.705,14.7675,14.52,14.5425,8385600,14.5425
"2009-09-21",14.475,14.6725,14.1525,14.27,6847200,14.27
"2009-09-22",14.34,14.4425,14.1925,14.2175,5684000,14.2175
"2009-09-23",14.315,14.7025,14.2275,14.385,6104000,14.385
"2009-09-24",14.455,14.4775,14.01,14.025,4341600,14.025
"2009-09-25",14.025,14.0625,13.685,13.765,7042400,13.765
"2009-09-28",13.8375,14.3675,13.8125,14.3675,7802800,14.3675
"2009-09-29",14.35,14.4525,14.195,14.29,4662400,14.29
"2009-09-30",14.2825,14.43,14,14.2325,7105600,14.2325
"2009-10-01",14.155,14.2375,13.6375,13.6375,6195600,13.6375
"2009-10-02",13.625,13.75,13.515,13.6275,5442800,13.6275
"2009-10-05",13.6725,14.1675,13.5725,14.105,6024000,14.105
"2009-10-06",14.2425,14.7475,14.1625,14.6425,10616400,14.6425
"2009-10-07",14.64,14.85,14.41,14.61,4888000,14.61
"2009-10-08",14.7325,15.27,14.7325,15.09,9443600,15.09
"2009-10-09",15.1225,15.245,14.9975,15.2425,4623600,15.2425
"2009-10-12",15.285,15.575,15.2475,15.3675,6277200,15.3675
"2009-10-13",15.3275,15.4475,15.195,15.2825,4379600,15.2825
