"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2013-02-05",65.419998,68.089996,65.300003,67.5,5181100,63.463402
"2013-02-06",66.410004,67.940002,65.010002,65.699997,8686100,61.771049
"2013-02-07",65.68,66.18,63.110001,65.400002,3856200,61.489006
"2013-02-08",65.5,66.349998,65.160004,65.650002,1791200,61.724056
"2013-02-11",65.239998,65.489998,64.370003,64.800003,2153200,60.924866
"2013-02-12",64.910004,65.919998,64.790001,65.550003,2169500,61.630028
"2013-02-13",65.699997,65.830002,64.849998,65.470001,1871800,61.554817
"2013-02-14",64.980003,65.43,64.510002,65.169998,2404200,61.272774
"2013-02-15",65.25,65.790001,64.230003,64.580002,2602200,60.718044
"2013-02-19",64.900002,65.129997,64.059998,64.419998,1906700,60.567608
"2013-02-20",64.519997,64.949997,62.82,63.110001,1828100,59.335941
"2013-02-21",63.27,63.900002,62.689999,63.759998,2904100,59.947063
"2013-02-22",63.860001,64.639999,63.790001,64.489998,2044900,60.633419
"2013-02-25",64.660004,64.919998,62.029999,62.139999,2079000,58.423943
"2013-02-26",62.279999,63.119999,61.490002,62.82,2227100,59.063282
"2013-02-27",63.41,64.919998,62.110001,64.18,2052100,60.341957
"2013-02-28",63.93,64.540001,63.189999,63.900002,2806500,60.078697
"2013-03-01",63.5,64.150002,62.860001,63.740002,1788800,59.928265
"2013-03-04",63.200001,64.510002,63.119999,64.419998,2172500,60.567608
"2013-03-05",64.989998,66.220001,64.82,65.910004,3362900,61.968513
"2013-03-06",65.889999,66.099998,64.589996,64.949997,1731100,61.065907
"2013-03-07",64.800003,65.410004,64.199997,64.32,1279400,60.594864
"2013-03-08",64.809998,65,63.709999,64.720001,1561800,60.971699
"2013-03-11",64.419998,65.050003,63.93,64.980003,1770300,61.216644
"2013-03-12",64.75,66,64.510002,64.970001,1752900,61.207218
"2013-03-13",65.139999,66.099998,64.349998,65.75,1499400,61.942062
"2013-03-14",65.75,66.5,65.660004,66.349998,1304200,62.507294
"2013-03-15",66.089996,66.830002,65.650002,66.220001,1676500,62.384827
"2013-03-18",65.32,65.610001,64.32,64.440002,1494900,60.70792
"2013-03-19",64.779999,64.860001,61.43,62.650002,2878400,59.021584
"2013-03-20",63.349998,63.509998,62.790001,63.279999,1798100,59.615089
"2013-03-21",62.790001,63.610001,61.630001,61.93,1846000,58.343288
"2013-03-22",62.389999,63.060001,61.779999,62.939999,1945000,59.294785
"2013-03-25",63.189999,63.650002,61.959999,62.380001,1267600,58.767223
"2013-03-26",62.779999,63.450001,61.880001,62.09,2001100,58.494034
"2013-03-27",61.470001,61.68,60.759998,60.900002,2602500,57.372944
"2013-03-28",60.919998,60.919998,59.5,60.02,2732400,56.543903
"2013-04-01",60.490002,60.91,59.82,60.5,3274500,56.996098
"2013-04-02",61.130001,62.369999,60.610001,61.869999,3091400,58.286755
"2013-04-03",61.82,61.869999,60.68,60.799999,2498600,57.278721
"2013-04-04",60.740002,61.75,60.07,61.18,1263200,57.636711
"2013-04-05",60.029999,61.639999,59.709999,61.619999,1364600,58.051235
"2013-04-08",61.470001,62.349998,61.150002,62.32,1270200,58.710701
"2013-04-09",62.27,62.68,61.48,62.43,1284000,58.814323
"2013-04-10",62.869999,64.349998,62.709999,64.349998,1476800,60.623131
"2013-04-11",64.349998,65.389999,64.059998,65.010002,2052500,61.244907
"2013-04-12",64.699997,65.150002,63.970001,64.43,1134700,60.698502
"2013-04-15",63.889999,64.309998,61.299999,61.459999,2176500,57.90049
"2013-04-16",61.849998,63.360001,61.82,63.130001,1634200,59.473789
"2013-04-17",62.299999,62.880001,61.099998,61.77,2059900,58.192551
"2013-04-18",61.959999,62.43,60.25,60.5,1580000,56.996098
"2013-04-19",60.459999,62.34,60.16,61.669998,2515500,58.098343
"2013-04-22",61.77,63.650002,61.380001,63.34,2598000,59.671623
"2013-04-23",63.75,64.400002,63.259998,64.199997,2022200,60.481808
"2013-04-24",64.199997,64.959999,63.459999,64.18,1489200,60.462978
"2013-04-25",64.669998,65.220001,64.400002,64.970001,4795700,61.207218
"2013-04-26",61.509998,61.900002,58.080002,58.560001,8904800,55.168465
"2013-04-29",58.73,58.970001,55.75,56.060001,6415000,52.81324
"2013-04-30",55.77,57.16,55.57,55.84,4115000,52.605988
"2013-05-01",55.970001,55.970001,54.650002,55.099998,2722900,51.908852
"2013-05-02",55.560001,57.130001,55.34,56.77,3943800,53.482124
"2013-05-03",57.299999,59.380001,57.110001,59,3871200,55.582977
"2013-05-06",58.959999,59.43,58.139999,58.290001,2665300,54.914101
"2013-05-07",58.48,58.66,56.950001,57.07,3966700,53.764759
"2013-05-08",57.130001,58.049999,56.849998,57.18,3387200,53.868374
"2013-05-09",57.32,57.68,55.5,55.970001,4438300,52.728458
"2013-05-10",56.400002,59.150002,56.259998,58.869999,5054700,55.46051
"2013-05-13",58.48,59.57,58.209999,59.43,2672400,55.988071
"2013-05-14",59.669998,60.830002,59.599998,60.759998,3780700,57.241043
"2013-05-15",60.599998,61.509998,60.290001,60.73,3404100,57.212772
"2013-05-16",60.25,60.549999,57.849998,57.900002,4312400,54.546673
"2013-05-17",58.490002,58.93,57.360001,58.099998,3775600,54.735104
"2013-05-20",58.66,58.799999,57.169998,58,4061000,54.640888
"2013-05-21",57.830002,58.450001,57.599998,58.009998,2775400,54.650314
"2013-05-22",58.009998,58.259998,57.25,57.68,4652900,54.339432
"2013-05-23",57.130001,58.560001,56.91,58.209999,3630600,54.83873
"2013-05-24",57.700001,59.119999,57.68,59.040001,1719900,55.620667
"2013-05-28",59.689999,60.099998,58.860001,58.970001,2488600,55.677311
"2013-05-29",58.57,59.130001,57.43,57.459999,1932000,54.251621
"2013-05-30",57.43,58.5,57.360001,57.490002,2126600,54.279949
