"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume","TMK.Adjusted"
"2002-01-14",16.933332,17.106667,16.799999,16.822222,475800,14.166005
"2002-01-15",16.911112,17.106667,16.888889,16.986666,481200,14.304491
"2002-01-16",16.933332,17.022223,16.848888,16.862223,699000,14.19969
"2002-01-17",16.862223,16.951111,16.76,16.928888,696300,14.255831
"2002-01-18",16.911112,17.044445,16.799999,16.862223,860800,14.19969
"2002-01-22",16.933332,16.933332,16.702223,16.777779,575500,14.128583
"2002-01-23",16.733334,16.977777,16.622223,16.937778,1112400,14.263316
"2002-01-24",16.946667,17.044445,16.888889,17.013334,1032400,14.326945
"2002-01-25",17.035555,17.128889,16.955555,17.093334,604300,14.394309
"2002-01-28",17.097778,17.097778,16.608889,16.724445,1779900,14.083669
"2002-01-29",16.666666,16.968889,16.333334,16.386667,988600,13.799232
"2002-01-30",16.342222,16.586666,16.213333,16.537777,1224600,13.926478
"2002-01-31",16.48,16.884445,16.448889,16.884445,847500,14.218409
"2002-02-01",16.871111,16.884445,16.711111,16.822222,491400,14.166005
"2002-02-04",16.817778,16.866667,16.51111,16.551111,442500,13.937709
"2002-02-05",16.555555,16.777779,16.4,16.48,634600,13.877823
"2002-02-06",16.444445,16.524445,16.311111,16.444445,931600,13.847878
"2002-02-07",16.444445,16.475555,16.222221,16.440001,887400,13.844141
"2002-02-08",16.48889,16.822222,16.4,16.657778,870400,14.027527
"2002-02-11",16.688889,16.777779,16.444445,16.644444,674100,14.016302
"2002-02-12",16.577778,16.764444,16.524445,16.639999,400900,14.012558
"2002-02-13",16.666666,17.244444,16.59111,17.062222,1229400,14.36811
"2002-02-14",17.151112,17.222221,16.871111,17.120001,359200,14.416771
"2002-02-15",17.155556,17.191111,16.724445,17.022223,489600,14.334432
"2002-02-19",17.044445,17.155556,16.893333,16.977777,683500,14.297001
"2002-02-20",16.968889,17.106667,16.751112,17.088888,375900,14.390572
"2002-02-21",16.955555,17.044445,16.808889,16.848888,383400,14.188466
"2002-02-22",16.777779,17.022223,16.728889,16.982222,891600,14.300745
"2002-02-25",17.026667,17.551111,16.982222,17.52,1428700,14.753614
"2002-02-26",17.755556,17.764444,17.528889,17.675556,1093200,14.884604
"2002-02-27",17.697779,18.133333,17.608889,17.808889,1205100,14.996882
"2002-02-28",17.813334,18.177778,17.733334,17.862223,1271700,15.041795
"2002-03-01",17.866667,18.08,17.719999,18.057777,1177800,15.206463
"2002-03-04",18.133333,18.742222,18.133333,18.604445,1082800,15.666812
"2002-03-05",18.16,18.711111,18.124445,18.48889,1176700,15.569508
"2002-03-06",18.48889,18.626667,18.222221,18.56889,746500,15.636874
"2002-03-07",18.266666,18.364445,17.897778,18.271111,798300,15.38612
"2002-03-08",18.311111,18.4,18.266666,18.311111,849600,15.419798
"2002-03-11",18.244444,18.337778,18.137777,18.177778,583300,15.307527
"2002-03-12",18.088888,18.177778,17.915556,18.115555,891000,15.255125
"2002-03-13",18.120001,18.146667,17.808889,17.964445,739800,15.127877
"2002-03-14",18,18.4,18,18.08,550000,15.225187
"2002-03-15",18.191111,18.328888,18.16,18.222221,819400,15.344947
"2002-03-18",18.048889,18.200001,18.004444,18.133333,1055800,15.270098
"2002-03-19",18.137777,18.333334,18,18.071112,589900,15.217697
"2002-03-20",18.022223,18.195555,17.902222,17.951111,481600,15.116647
