"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2015-06-17",216.490005,218.589996,214.869995,218.139999,253500,193.255722
"2015-06-18",219.169998,222.669998,219.169998,221.880005,343900,196.569122
"2015-06-19",221.020004,221.369995,218.399994,219.710007,468800,194.646637
"2015-06-22",220.259995,221.779999,217.190002,217.520004,272800,192.706451
"2015-06-23",217,217.339996,214.619995,215.100006,251400,190.562515
"2015-06-24",215.460007,216.75,214.669998,215.050003,302900,190.518204
"2015-06-25",215.080002,216.979996,213.110001,213.300003,286600,188.96785
"2015-06-26",212.169998,214.580002,208.850006,214.169998,355000,191.028259
"2015-06-29",213.970001,216.100006,210.380005,210.490005,343500,187.74588
"2015-06-30",212.360001,214.470001,209.889999,212.5,415200,189.538712
"2015-07-01",214.309998,216.729996,212.350006,216.710007,330600,193.293808
"2015-07-02",218.559998,220.229996,214.710007,218.309998,376400,194.720901
"2015-07-06",216.800003,220.070007,215.970001,219.660004,330500,195.925079
"2015-07-07",220.759995,222.979996,219.130005,222.339996,319800,198.315445
"2015-07-08",221.490005,223.089996,220.270004,221.660004,403700,197.708893
"2015-07-09",222.770004,224.399994,221.009995,221.009995,378700,197.12915
"2015-07-10",222.199997,224.690002,221.660004,221.820007,370400,197.851639
"2015-07-13",223.470001,224.800003,219.25,220.820007,417100,196.959702
"2015-07-14",220.990005,222.660004,218.399994,221.869995,202000,197.896255
"2015-07-15",221.300003,223.449997,218.889999,222.619995,257600,198.565201
"2015-07-16",223.410004,225,222.139999,223.770004,243300,199.590958
"2015-07-17",223.720001,223.770004,221.320007,222.990005,269600,198.895233
"2015-07-20",221.789993,224.929993,221.740005,224.820007,237800,200.527512
"2015-07-21",224.009995,226.360001,223.149994,223.550003,239300,199.39473
"2015-07-22",223.740005,226.029999,222.479996,224.270004,240900,200.036942
"2015-07-23",223.559998,223.889999,220.759995,222.369995,216000,198.342209
"2015-07-24",221.889999,224.619995,221.869995,223.809998,218600,199.626617
"2015-07-27",223.789993,226.539993,222.449997,224.309998,188200,200.072571
"2015-07-28",223.759995,224.029999,219.910004,222.320007,381800,198.297638
"2015-07-29",222.919998,223.020004,220.410004,222.550003,322400,198.502762
"2015-07-30",222.029999,229.899994,221.110001,223.779999,383700,199.599869
"2015-07-31",228,230,224.559998,224.910004,448700,200.607742
"2015-08-03",225.669998,226.949997,224.089996,226.550003,246600,202.070572
"2015-08-04",226.779999,228.910004,224.919998,225.309998,186400,200.964554
"2015-08-05",225.529999,228.490005,223.179993,224.419998,185900,200.170715
"2015-08-06",223.970001,226.279999,221.720001,226.070007,194700,201.642441
"2015-08-07",226.149994,227.149994,223.199997,227,159300,202.47197
"2015-08-10",227.779999,229.070007,225.520004,227.119995,242300,202.578964
"2015-08-11",226.520004,229.539993,225.699997,228.149994,267200,203.497665
"2015-08-12",227.600006,228.600006,225.110001,228.330002,281600,203.658234
"2015-08-13",227.330002,228.949997,224.199997,227.929993,269400,203.301468
"2015-08-14",227.229996,228.839996,225.399994,228.550003,315300,203.854477
"2015-08-17",228.800003,231.199997,227.009995,231.110001,267200,206.137817
"2015-08-18",230.75,232.199997,229.850006,231.929993,317800,206.869232
"2015-08-19",230.070007,230.589996,224.929993,228.270004,425900,203.604706
"2015-08-20",226.610001,230.970001,225.419998,227.610001,328000,203.016022
"2015-08-21",226.839996,228.029999,222.949997,222.949997,351400,198.859528
"2015-08-24",222.949997,222.949997,211.529999,211.860001,388700,188.967865
"2015-08-25",213,216.130005,209.089996,209.5,739800,186.862869
"2015-08-26",212.759995,215.690002,209.960007,215.119995,432600,191.87558
"2015-08-27",216.360001,222.199997,215.130005,220.25,341100,196.451279
"2015-08-28",220.009995,220.910004,215.580002,220.660004,303700,196.816986
"2015-08-31",220.050003,220.509995,214.539993,214.619995,525200,191.429626
"2015-09-01",211.429993,214.410004,208.699997,210.179993,319300,187.469345
"2015-09-02",212.759995,214.550003,209.580002,211.820007,337800,188.932205
"2015-09-03",212.869995,214.229996,211.470001,212.160004,255600,189.235458
"2015-09-04",210.830002,211.320007,205.779999,207.169998,273700,184.784653
"2015-09-08",210.080002,213.009995,208.080002,210.460007,353400,187.719147
"2015-09-09",212.339996,213.009995,207.210007,207.649994,348000,185.212753
"2015-09-10",206.539993,211.649994,205.720001,208.580002,289600,186.042267
"2015-09-11",208.449997,214.679993,205.910004,214.529999,315700,191.34935
"2015-09-14",215.199997,215.199997,211.369995,212.509995,276900,189.547638
