"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2015-03-23",127.120003,127.849998,126.519997,127.209999,37709700,117.69632
"2015-03-24",127.230003,128.039993,126.559998,126.690002,32842300,117.215256
"2015-03-25",126.540001,126.82,123.379997,123.379997,51655200,114.152763
"2015-03-26",122.760002,124.879997,122.599998,124.239998,47572900,114.948456
"2015-03-27",124.57,124.699997,122.910004,123.25,39546200,114.032494
"2015-03-30",124.050003,126.400002,124,126.370003,47099700,116.919159
"2015-03-31",126.089996,126.489998,124.360001,124.43,42090600,115.124252
"2015-04-01",124.82,125.120003,123.099998,124.25,40621400,114.957703
"2015-04-02",125.029999,125.559998,124.190002,125.32,32220100,115.947678
"2015-04-06",124.470001,127.510002,124.330002,127.349998,37194000,117.825859
"2015-04-07",127.639999,128.119995,125.980003,126.010002,35012300,116.586082
"2015-04-08",125.849998,126.400002,124.970001,125.599998,37329200,116.206741
"2015-04-09",125.849998,126.580002,124.660004,126.559998,32484000,117.094955
"2015-04-10",125.949997,127.209999,125.260002,127.099998,40188000,117.594566
"2015-04-13",128.369995,128.570007,126.610001,126.849998,36365100,117.363266
"2015-04-14",127,127.290001,125.910004,126.300003,25524600,116.854393
"2015-04-15",126.410004,127.129997,126.010002,126.779999,28970400,117.298492
"2015-04-16",126.279999,127.099998,126.110001,126.169998,28369000,116.734108
"2015-04-17",125.550003,126.139999,124.459999,124.75,51957000,115.420311
"2015-04-20",125.57,128.119995,125.169998,127.599998,47054300,118.057198
"2015-04-21",128.100006,128.199997,126.669998,126.910004,32435100,117.41877
"2015-04-22",126.989998,128.869995,126.32,128.619995,37654500,119.0009
"2015-04-23",128.300003,130.419998,128.139999,129.669998,45770900,119.972366
"2015-04-24",130.490005,130.630005,129.229996,130.279999,44525900,120.536766
"2015-04-27",132.309998,133.130005,131.149994,132.649994,96954200,122.729507
"2015-04-28",134.460007,134.539993,129.570007,130.559998,118924000,120.79583
"2015-04-29",130.160004,131.589996,128.300003,128.639999,63386100,119.019402
"2015-04-30",128.639999,128.639999,124.580002,125.150002,83195400,115.790398
"2015-05-01",126.099998,130.130005,125.300003,128.949997,58512600,119.306213
"2015-05-04",129.5,130.570007,128.259995,128.699997,50988300,119.074913
"2015-05-05",128.149994,128.449997,125.779999,125.800003,49271400,116.3918
"2015-05-06",126.559998,126.75,123.360001,125.010002,72141000,115.660881
"2015-05-07",124.769997,126.080002,124.019997,125.260002,43940900,116.376266
"2015-05-08",126.68,127.620003,126.110001,127.620003,55550400,118.568901
"2015-05-11",127.389999,127.559998,125.629997,126.32,42035800,117.361092
"2015-05-12",125.599998,126.879997,124.82,125.870003,48160000,116.943008
"2015-05-13",126.150002,127.190002,125.870003,126.010002,34694200,117.073074
"2015-05-14",127.410004,128.949997,127.160004,128.949997,45203500,119.804558
"2015-05-15",129.070007,129.490005,128.210007,128.770004,38208000,119.637329
"2015-05-18",128.380005,130.720001,128.360001,130.190002,50882900,120.956619
"2015-05-19",130.690002,130.880005,129.639999,130.070007,44633200,120.845154
"2015-05-20",130,130.979996,129.339996,130.059998,36454900,120.835808
"2015-05-21",130.070007,131.630005,129.830002,131.389999,39730400,122.071541
"2015-05-22",131.600006,132.970001,131.399994,132.539993,45596000,123.139961
"2015-05-26",132.600006,132.910004,129.119995,129.619995,70697600,120.427025
"2015-05-27",130.339996,132.259995,130.050003,132.039993,45833200,122.675392
"2015-05-28",131.860001,131.949997,131.100006,131.779999,30733300,122.433838
"2015-05-29",131.229996,131.449997,129.899994,130.279999,50884500,121.040253
"2015-06-01",130.279999,131.389999,130.050003,130.539993,32112800,121.281799
"2015-06-02",129.860001,130.660004,129.320007,129.960007,33667600,120.742943
"2015-06-03",130.660004,130.940002,129.899994,130.119995,30983500,120.891586
"2015-06-04",129.580002,130.580002,128.910004,129.360001,38450100,120.185486
"2015-06-05",129.5,129.690002,128.360001,128.649994,35626800,119.525826
"2015-06-08",128.899994,129.210007,126.830002,127.800003,52674800,118.73613
"2015-06-09",126.699997,128.080002,125.620003,127.419998,56075400,118.383064
"2015-06-10",127.919998,129.339996,127.849998,128.880005,39087300,119.739525
"2015-06-11",129.179993,130.179993,128.479996,128.589996,35390900,119.470093
"2015-06-12",128.190002,128.330002,127.110001,127.169998,36886200,118.15081
"2015-06-15",126.099998,127.239998,125.709999,126.919998,43988900,117.918549
"2015-06-16",127.029999,127.849998,126.370003,127.599998,31494100,118.550316
"2015-06-17",127.720001,127.879997,126.739998,127.300003,32918100,118.271584
"2015-06-18",127.230003,128.309998,127.220001,127.879997,35407200,118.810448
"2015-06-19",127.709999,127.82,126.400002,126.599998,54716900,117.621239
"2015-06-22",127.489998,128.059998,127.080002,127.610001,34039300,118.559601
"2015-06-23",127.480003,127.610001,126.879997,127.029999,30268900,118.020721
"2015-06-24",127.209999,129.800003,127.120003,128.110001,55280900,119.024139
"2015-06-25",128.860001,129.199997,127.5,127.5,31938100,118.457405
"2015-06-26",127.669998,127.989998,126.510002,126.75,44066800,117.760605
"2015-06-29",125.459999,126.470001,124.480003,124.529999,49161400,115.698044
"2015-06-30",125.57,126.120003,124.860001,125.43,44370700,116.534195
"2015-07-01",126.900002,126.940002,125.989998,126.599998,30238800,117.621239
"2015-07-02",126.43,126.690002,125.769997,126.440002,27211000,117.472565
"2015-07-06",124.940002,126.230003,124.849998,126,28060400,117.063797
"2015-07-07",125.889999,126.150002,123.769997,125.690002,46946800,116.775772
"2015-07-08",124.480003,124.639999,122.540001,122.57,60761600,113.877052
"2015-07-09",123.849998,124.059998,119.220001,120.07,78595000,111.554359
"2015-07-10",121.940002,123.849998,121.209999,123.279999,61354500,114.536697
"2015-07-13",125.029999,125.760002,124.32,125.660004,41440500,116.747902
"2015-07-14",126.040001,126.370003,125.040001,125.610001,31768100,116.701447
"2015-07-15",125.720001,127.150002,125.580002,126.82,33649200,117.825638
"2015-07-16",127.739998,128.570007,127.349998,128.509995,36222400,119.395767
"2015-07-17",129.080002,129.619995,128.309998,129.619995,46164700,120.427025
"2015-07-20",130.970001,132.970001,130.699997,132.070007,58900200,122.703278
"2015-07-21",132.850006,132.919998,130.320007,130.75,76756400,121.476906
"2015-07-22",121.989998,125.5,121.989998,125.220001,115450600,116.339096
"2015-07-23",126.199997,127.089996,125.059998,125.160004,50999500,116.283371
"2015-07-24",125.32,125.739998,123.900002,124.5,42162300,115.670166
"2015-07-27",123.089996,123.610001,122.120003,122.769997,44455500,114.062859
"2015-07-28",123.379997,123.910004,122.550003,123.379997,33618100,114.629601
"2015-07-29",123.150002,123.5,122.269997,122.989998,37011700,114.267258
"2015-07-30",122.32,122.57,121.709999,122.370003,33628300,113.691231
"2015-07-31",122.599998,122.639999,120.910004,121.300003,42885000,112.697105
"2015-08-03",121.5,122.57,117.519997,118.440002,69976000,110.03997
"2015-08-04",117.419998,117.699997,113.25,114.639999,124138600,106.509476
"2015-08-05",112.949997,117.440002,112.099998,115.400002,99312600,107.215553
"2015-08-06",115.970001,116.5,114.120003,115.129997,52903000,107.448891
"2015-08-07",114.580002,116.25,114.5,115.519997,38670400,107.812859
"2015-08-10",116.529999,119.989998,116.529999,119.720001,54951600,111.732651
"2015-08-11",117.809998,118.18,113.330002,113.489998,97082800,105.918304
"2015-08-12",112.529999,115.419998,109.629997,115.239998,101217500,107.551552
"2015-08-13",116.040001,116.400002,114.540001,115.150002,48535800,107.467552
"2015-08-14",114.32,116.309998,114.010002,115.959999,42929500,108.223495
"2015-08-17",116.040001,117.650002,115.5,117.160004,40884700,109.343437
"2015-08-18",116.43,117.440002,116.010002,116.5,34560700,108.727463
"2015-08-19",116.099998,116.519997,114.68,115.010002,48286500,107.336884
"2015-08-20",114.080002,114.349998,111.629997,112.650002,68501600,105.134331
"2015-08-21",110.43,111.900002,105.650002,105.760002,128275500,98.704018
"2015-08-24",94.870003,108.800003,92,103.120003,162206300,96.240166
"2015-08-25",111.110001,111.110001,103.5,103.739998,103601600,96.818787
"2015-08-26",107.089996,109.889999,105.050003,109.690002,96774600,102.371834
"2015-08-27",112.230003,113.239998,110.019997,112.919998,84616100,105.386337
"2015-08-28",112.169998,113.309998,111.540001,113.290001,53164400,105.731636
"2015-08-31",112.029999,114.529999,112,112.760002,56229300,105.237
"2015-09-01",110.150002,111.879997,107.360001,107.720001,76845900,100.533249
"2015-09-02",110.230003,112.339996,109.129997,112.339996,61888800,104.845024
"2015-09-03",112.489998,112.779999,110.040001,110.370003,53233900,103.006447
"2015-09-04",108.970001,110.449997,108.510002,109.269997,49996300,101.979836
"2015-09-08",111.75,112.559998,110.32,112.309998,54843600,104.817017
"2015-09-09",113.760002,114.019997,109.769997,110.150002,85010800,102.801125
"2015-09-10",110.269997,113.279999,109.900002,112.57,62892800,105.059677
"2015-09-11",111.790001,114.209999,111.760002,114.209999,49915500,106.590263
