"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2015-04-02",44.817638,46.135002,44.621666,46.058792,2351900,45.052563
"2015-04-06",46.216656,46.488842,45.748505,45.841045,1862500,44.839584
"2015-04-07",46.004356,46.23299,45.764835,45.841045,1795300,44.839584
"2015-04-08",45.890038,46.064236,45.351116,45.389221,2330200,44.397625
"2015-04-09",45.628742,46.51606,45.127926,46.330975,3260800,45.318806
"2015-04-10",46.439846,46.532391,45.628742,46.08601,2018100,45.079193
"2015-04-13",46.23299,46.401741,45.274906,45.313011,1695700,44.323086
"2015-04-14",45.617855,46.276539,45.465431,46.053349,2049300,45.047253
"2015-04-15",46.467068,47.953186,46.031574,47.860641,2786100,46.815063
"2015-04-16",47.593903,48.524769,47.343494,47.485031,3105800,46.447647
"2015-04-17",47.011433,47.659225,46.897114,47.566685,2226900,46.527523
"2015-04-20",47.365269,47.512249,46.619488,47.142078,2250100,46.112198
"2015-04-21",47.365269,47.539467,46.853565,47.054981,2283300,46.026993
"2015-04-22",47.354382,47.773544,46.89167,47.517693,2244400,46.479595
"2015-04-23",48.356014,49.450191,47.550354,47.653782,5582800,46.61272
"2015-04-24",47.784431,48.312466,46.712032,47.136635,2514800,46.106857
"2015-04-27",47.212849,47.474144,46.548721,46.864452,2589000,45.84063
"2015-04-28",46.826347,47.626564,46.59227,47.615677,2067700,46.575447
"2015-04-29",47.485031,48.704411,47.24551,48.666306,2230600,47.603115
"2015-04-30",48.818726,49.765923,47.778988,48.960262,2696300,47.890652
"2015-05-01",49.074577,49.379421,48.731628,48.982037,3004400,47.911949
"2015-05-04",48.998367,49.335873,48.68808,48.824169,1672500,47.75753
"2015-05-05",49.308655,49.956451,48.475777,48.508438,2146100,47.448696
"2015-05-06",48.889492,48.98748,48.018509,48.241699,1425100,47.18779
"2015-05-07",48.018509,48.094719,47.523136,47.947742,1735900,46.900253
"2015-05-08",48.573761,49.49374,47.588459,49.455635,2075900,48.375202
"2015-05-11",49.531845,49.559063,48.209038,48.922157,2318600,47.853378
"2015-05-12",49.107239,50.511703,48.769733,50.054436,3678700,48.960922
"2015-05-13",50.005444,50.043549,48.753403,48.965706,2306300,47.924706
"2015-05-14",49.058247,49.689713,48.55743,49.428417,1949400,48.377575
"2015-05-15",49.090908,49.428417,48.459446,49.34676,1808100,48.297657
"2015-05-18",49.118126,49.324986,48.568317,48.737072,3310000,47.700928
"2015-05-19",48.366901,48.666306,47.588459,47.980404,3782500,46.960346
"2015-05-20",48.25803,48.25803,47.370712,47.925964,2064900,46.907063
"2015-05-21",48.241699,48.508438,47.757214,48.198151,1666800,47.173462
"2015-05-22",47.708221,48.454002,47.653782,48.12738,914800,47.104195
"2015-05-26",47.62112,48.067501,47.082199,47.343494,1500600,46.336979
"2015-05-27",47.283615,47.778988,46.908001,47.686447,1301300,46.672642
"2015-05-28",47.446926,47.534023,46.537834,46.619488,1909100,45.628361
"2015-05-29",46.842678,47.120304,45.993469,46.3092,2954800,45.324673
"2015-06-01",46.287426,46.428959,46.058792,46.238434,1465700,45.255409
"2015-06-02",46.205769,46.706585,45.78661,46.303757,2402600,45.31934
