"","AA.Open","AA.High","AA.Low","AA.Close","AA.Volume","AA.Adjusted"
"2011-06-08",37.486801,37.823219,36.83799,37.030231,8756600,34.70842
"2011-06-09",37.222469,37.534859,36.886051,37.246498,6950900,34.911137
"2011-06-10",37.05426,37.486801,36.45351,36.717838,7985100,34.415627
"2011-06-13",36.741871,37.102322,35.828732,36.285301,8071500,34.010204
"2011-06-14",36.573662,37.246498,36.549629,37.030231,7216200,34.70842
"2011-06-15",36.45351,36.69381,35.756641,35.948879,10905900,33.694874
"2011-06-16",35.804699,36.357391,35.131859,35.540371,10081200,33.311985
"2011-06-17",35.684551,35.804699,35.059769,35.372162,10017400,33.15432
"2011-06-20",35.25201,35.684551,34.987679,35.516338,5056300,33.289455
"2011-06-21",35.900822,37.05426,35.85276,36.934109,7625000,34.61832
"2011-06-22",36.741871,37.486801,36.549629,36.741871,6703300,34.438141
"2011-06-23",36.069031,36.7659,35.3241,36.717838,11266500,34.415627
"2011-06-24",36.862019,37.36665,36.38142,36.597691,10713400,34.303001
"2011-06-27",36.573662,36.98217,36.141121,36.717838,5580700,34.415627
"2011-06-28",36.934109,37.65501,36.83799,37.606949,6269100,35.248981
"2011-06-29",38.063519,38.351879,37.43874,38.015461,7275400,35.631882
"2011-06-30",38.207699,38.808449,38.015461,38.11158,9232700,35.721981
"2011-07-01",38.423969,39.31308,38.18367,39.192928,7722200,36.735516
"2011-07-05",39.409199,39.45726,38.9286,39.38517,8117600,36.91571
"2011-07-06",39.192928,39.38517,38.808449,39.024719,7863000,36.577858
"2011-07-07",39.337109,39.889801,39.048752,39.625469,10880800,37.140942
"2011-07-08",39.048752,39.38517,38.736359,39.361141,8062400,36.893192
"2011-07-11",38.71233,38.832481,37.7271,38.231731,17918200,35.834591
"2011-07-12",37.943371,38.688301,37.7271,37.751129,14231200,35.384125
"2011-07-13",38.03949,38.544121,37.871281,38.087551,9438300,35.699448
"2011-07-14",38.207699,38.279789,37.006199,37.150379,9034300,34.821045
"2011-07-15",37.294559,37.486801,36.934109,37.198441,8490700,34.866085
"2011-07-18",36.886051,36.91008,36.285301,36.45351,9436700,34.16787
"2011-07-19",36.741871,37.222469,36.645748,37.102322,9721400,34.775993
"2011-07-20",37.342621,37.679039,37.150379,37.270531,7815800,34.933659
"2011-07-21",37.462769,37.9674,37.198441,37.895309,7838800,35.519268
"2011-07-22",38.015461,38.087551,37.751129,38.03949,4930500,35.654396
"2011-07-25",37.534859,37.943371,37.43874,37.606949,5534200,35.248981
"2011-07-26",37.43874,37.775162,37.078289,37.198441,6216800,34.866085
"2011-07-27",36.862019,37.030231,35.828732,35.876789,9468400,33.6273
"2011-07-28",35.900822,36.573662,35.5644,35.63649,8166200,33.402069
"2011-07-29",34.96365,35.876789,34.843498,35.396191,9255500,33.176846
"2011-08-01",36.23724,36.405449,34.89156,35.444248,9532700,33.221886
"2011-08-02",35.131859,35.49231,34.002449,34.026482,9705300,31.893007
"2011-08-03",34.074539,34.338871,33.281551,34.266781,12860900,32.186428
"2011-08-04",33.786179,33.930359,31.09482,31.09482,21123900,29.207045
"2011-08-05",31.599449,31.88781,29.532869,30.734369,21149800,28.868477
"2011-08-08",29.22048,29.77317,27.08181,27.22599,24830000,25.573093
"2011-08-09",28.28331,29.41272,27.22599,29.41272,17304600,27.627064
"2011-08-10",28.860029,29.052271,27.730619,27.8748,15514400,26.182512
"2011-08-11",28.379431,29.89332,27.778681,29.43675,16800000,27.649635
"2011-08-12",30.15765,30.22974,29.10033,29.460779,15026900,27.672207
"2011-08-15",29.989441,30.2778,29.797199,30.181681,8236400,28.349346
"2011-08-16",29.653021,30.08556,29.196449,29.460779,8556800,27.672207
"2011-08-17",29.725109,30.22974,29.196449,29.460779,7978200,27.672207
"2011-08-18",28.61973,28.667789,27.41823,27.658529,14661000,25.979372
"2011-08-19",26.985689,28.23525,26.69733,26.93763,12340800,25.30224
"2011-08-22",28.307341,28.331369,26.913601,26.985689,11647300,25.347382
"2011-08-23",27.22599,28.067039,27.08181,28.067039,10825500,26.363085
"2011-08-24",27.970921,28.54764,27.658529,28.523609,10119700,26.791935
"2011-08-25",28.667789,28.836,27.730619,27.850771,10238300,26.159946
"2011-08-26",27.658529,28.73988,27.20196,28.49958,8928200,26.769361
"2011-08-29",29.22048,29.869289,28.932119,29.845261,6489100,28.03335
"2011-08-30",29.460779,29.917351,29.0763,29.70108,9948000,27.897921
"2011-08-31",30.08556,31.070789,30.0375,30.7584,12924400,28.891048
"2011-09-01",30.470039,30.95064,30.01347,30.01347,8320900,28.191343
"2011-09-02",29.244511,29.48481,28.69182,28.932119,7473000,27.175642
"2011-09-06",27.75465,28.451521,27.46629,28.28331,9971000,26.566225
"2011-09-07",28.88406,29.48481,28.787939,29.43675,6926900,27.649635
"2011-09-08",29.29257,29.653021,28.73988,28.908091,6548100,27.153074
"2011-09-09",28.42749,28.595699,27.634501,27.82674,10392200,26.137369
"2011-09-12",27.322109,28.115101,26.93763,27.75465,12064200,26.069656
"2011-09-13",27.80271,28.16316,27.34614,27.94689,9577400,26.250229
"2011-09-14",28.47555,28.47555,27.442261,28.187189,10579200,26.475935
"2011-09-15",28.61973,28.860029,28.307341,28.787939,8275500,27.040216
"2011-09-16",28.908091,29.052271,28.40346,28.76391,9875200,27.017641
"2011-09-19",28.187189,28.23525,27.394199,27.82674,9851800,26.137369
"2011-09-20",27.80271,27.94689,26.96166,27.033751,9524400,25.392523
"2011-09-21",27.033751,27.250019,26.048519,26.048519,11421200,24.467106
"2011-09-22",24.94314,25.15941,23.88582,24.294331,25438800,22.819414
"2011-09-23",24.102091,24.774929,23.909849,24.19821,16551800,22.729132
"2011-09-26",24.60672,25.111349,23.81373,25.111349,13417900,23.586832
"2011-09-27",25.832251,26.14464,24.967171,25.183439,12868500,23.654543
"2011-09-28",25.20747,25.32762,23.909849,23.957911,14086700,22.50342
"2011-09-29",24.630751,24.702841,23.5494,24.174179,14072700,22.706556
"2011-09-30",23.86179,24.030001,22.972679,22.99671,15653900,21.600574
"2011-10-03",22.61223,22.66029,21.26655,21.3867,22427000,20.088308
"2011-10-04",20.882071,22.01148,20.305349,21.915359,20765600,20.584867
"2011-10-05",22.01148,22.73238,21.67506,22.516109,17674900,21.149151
"2011-10-06",22.780439,24.030001,22.05954,23.74164,29006900,22.300278
"2011-10-07",24.48657,24.60672,22.85253,23.33313,18680200,21.916574
"2011-10-10",24.102091,24.318359,23.81373,24.246269,12314400,22.774271
"2011-10-11",24.102091,25.08732,23.86179,24.7509,22938200,23.248264
"2011-10-12",23.86179,24.774929,23.381189,24.15015,45699600,22.683989
"2011-10-13",24.030001,24.39045,23.501341,24.2703,17705400,22.796843
"2011-10-14",24.72687,25.039261,24.12612,24.654779,15890200,23.15798
"2011-10-17",24.79896,24.82299,22.94865,23.020741,23568700,21.623142
"2011-10-18",23.33313,24.510599,22.94865,24.366421,20025200,22.887129
"2011-10-19",24.19821,24.2703,23.381189,23.47731,14720500,22.051998
"2011-10-20",23.837761,24.102091,23.381189,23.909849,15249100,22.458275
"2011-10-21",24.34239,24.582689,24.15015,24.582689,11929500,23.090269
"2011-10-24",24.82299,25.61598,24.630751,25.42374,15269200,23.880257
"2011-10-25",25.32762,25.375681,24.34239,24.366421,13225800,22.887129
"2011-10-26",24.87105,25.08732,24.246269,24.895081,12021500,23.383694
"2011-10-27",26.240761,27.586439,26.21673,27.250019,25984300,25.595661
"2011-10-28",27.00972,28.01898,26.86554,27.80271,13557100,26.114799
"2011-10-31",27.250019,27.250019,25.856279,25.856279,16293300,24.286539
"2011-11-01",24.558661,25.76016,24.15015,24.991199,19197000,23.473978
"2011-11-02",25.591949,25.904341,25.231501,25.712099,11576400,24.220978
"2011-11-03",26.096581,26.26479,25.375681,26.120609,11106300,24.605801
"2011-11-04",26.00046,26.40897,25.4718,26.26479,10402100,24.741623
"2011-11-07",26.096581,26.48106,25.42374,25.832251,14014400,24.334164
"2011-11-08",26.02449,26.096581,25.447769,25.904341,13786800,24.402071
"2011-11-09",25.06329,25.255529,24.41448,24.510599,14201700,23.089157
"2011-11-10",24.87105,25.01523,24.34239,24.630751,9540500,23.202341
"2011-11-11",24.79896,25.591949,24.79896,25.4718,9425200,23.994617
"2011-11-14",25.303591,25.54389,24.774929,24.94314,9598100,23.496613
"2011-11-15",24.72687,25.13538,24.48657,24.895081,10239500,23.451344
"2011-11-16",24.582689,24.702841,23.909849,23.957911,14417900,22.568518
"2011-11-17",24.12612,24.2703,23.020741,23.116859,16379900,21.776243
"2011-11-18",23.453279,23.693581,23.092831,23.28507,9291000,21.934704
"2011-11-21",22.900591,23.044769,22.27581,22.756411,13849800,21.436697
"2011-11-22",22.780439,22.87656,22.05954,22.25178,12151500,20.961332
"2011-11-23",21.8673,21.98745,21.31461,21.33864,14995600,20.101149
"2011-11-25",21.482821,21.819241,21.3867,21.506849,5430200,20.259605
"2011-11-28",22.54014,22.99671,22.371929,22.73238,13093800,21.414066
"2011-11-29",22.80447,22.87656,22.25178,22.371929,8803400,21.074516
"2011-11-30",23.309099,24.07806,23.28507,24.07806,15677700,22.681704
"2011-12-01",23.86179,23.981939,23.309099,23.573429,9031500,22.206341
"2011-12-02",23.981939,24.22224,23.765671,23.81373,10690800,22.432699
"2011-12-05",24.102091,24.294331,23.81373,24.030001,13717700,22.636431
"2011-12-06",23.86179,24.102091,23.693581,23.837761,8868100,22.455339
"2011-12-07",23.693581,23.909849,23.453279,23.7897,8742600,22.410069
"2011-12-08",23.62149,23.717609,22.636259,22.756411,12512200,21.436697
"2011-12-09",22.85253,23.26104,22.780439,23.164921,9345600,21.821518
"2011-12-12",22.780439,22.828501,22.155661,22.46805,8897500,21.165064
"2011-12-13",22.61223,22.73238,21.578939,21.72312,10559900,20.463329
"2011-12-14",21.60297,22.01148,21.31461,21.482821,18269600,20.236967
"2011-12-15",21.819241,21.8673,20.978189,21.098339,18792600,19.874786
"2011-12-16",21.362671,21.554911,20.954161,21.170429,17145400,19.942696
"2011-12-19",21.170429,21.170429,20.425501,20.497589,10713100,19.308872
"2011-12-20",20.71386,21.3867,20.71386,21.33864,14749000,20.101149
"2011-12-21",21.290581,21.53088,21.07431,21.26655,10937200,20.033237
"2011-12-22",21.434759,21.60297,21.1464,21.41073,13513400,20.16906
"2011-12-23",21.506849,21.554911,21.218491,21.290581,7728500,20.055876
"2011-12-27",21.242519,21.482821,21.07431,21.12237,7773900,19.897417
"2011-12-28",21.098339,21.098339,20.425501,20.47356,10888600,19.286238
"2011-12-29",20.59371,20.834009,20.54565,20.73789,7471100,19.535242
"2011-12-30",20.689831,20.78595,20.59371,20.78595,7726400,19.580511
"2012-01-03",21.482821,22.27581,21.362671,22.179689,19603900,20.893423
"2012-01-04",21.93939,22.828501,21.93939,22.708349,17183700,21.391426
"2012-01-05",22.419991,22.780439,22.08357,22.492081,11318100,21.187698
"2012-01-06",21.819241,22.227751,21.819241,22.01148,14641100,20.734968
