"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2014-12-22",96.261719,97.224625,96.12825,96.490532,2676600,87.145065
"2014-12-23",96.87188,97.605972,96.805145,97.224625,1591200,87.808067
"2014-12-24",97.567841,97.615509,97.196022,97.205559,636100,87.790817
"2014-12-26",97.291359,97.424835,96.881409,96.890945,1075900,87.506683
"2014-12-29",96.690735,97.176956,96.461929,96.929077,1032100,87.541138
"2014-12-30",96.480995,96.700272,95.880371,96.023376,1558100,86.723145
"2014-12-31",96.261719,96.624001,95.213013,95.260681,1828100,86.034302
"2015-01-02",95.527626,96.147316,94.47892,95.556229,2232700,86.301262
"2015-01-05",95.241615,95.241615,93.430214,93.735291,3309900,84.656654
"2015-01-06",93.716225,94.850731,92.982132,93.516014,4438200,84.458633
"2015-01-07",94.450317,95.193947,93.897362,94.192909,2737900,85.069962
"2015-01-08",94.993736,96.099648,94.993736,95.908974,2686200,86.61982
"2015-01-09",95.994774,96.080582,94.211975,94.316849,2781200,85.181908
"2015-01-12",94.574257,94.736328,92.70565,93.85923,2894700,84.7686
"2015-01-13",94.517052,95.556229,93.430214,94.526588,3590100,85.371338
"2015-01-14",93.125137,94.345451,93.125137,94.088036,3250800,84.975258
"2015-01-15",94.631462,94.755394,92.572182,92.581711,3665600,83.61483
"2015-01-16",92.352905,93.735291,92.00016,93.639954,5065900,84.570564
"2015-01-20",94.650528,95.09861,93.373009,94.364517,3987800,85.224968
"2015-01-21",93.887833,94.869804,93.573219,94.621925,2627700,85.457451
"2015-01-22",95.09861,95.289284,93.554153,94.755394,4642800,85.577988
"2015-01-23",96.290321,99.074158,95.813637,97.720375,6170000,88.255768
"2015-01-26",97.644104,97.710846,96.5382,97.138824,3461100,87.730553
"2015-01-27",96.12825,97.053017,95.30835,96.194984,2639200,86.878136
"2015-01-28",96.795609,97.720375,95.108147,95.165344,3999500,85.948219
"2015-01-29",94.907936,95.6325,93.487419,95.499023,4751800,86.249596
"2015-01-30",94.631462,95.09861,92.991661,93.201408,4299100,84.174484
"2015-02-02",93.973633,95.213013,92.41964,95.117676,3736700,85.905167
"2015-02-03",95.336952,96.585869,95.29882,96.547729,2899400,87.196724
"2015-02-04",96.185448,96.767006,95.727837,96.051979,2584900,86.748985
"2015-02-05",96.290321,97.720375,96.12825,97.567841,2680400,88.118027
"2015-02-06",97.482033,98.063591,96.709808,97.005348,2522200,87.610016
"2015-02-09",96.719337,97.224625,96.414261,96.852814,2363600,87.472252
"2015-02-10",97.24369,97.853851,96.738403,97.663177,1785700,88.204124
"2015-02-11",97.424835,98.015923,97.119751,97.653641,2018500,88.195518
"2015-02-12",97.872917,98.873955,97.86338,98.673744,2036900,89.116821
"2015-02-13",98.435402,99.579445,98.435402,99.512711,2066300,89.874512
"2015-02-17",99.217163,99.550842,98.826286,99.150429,2410700,89.547325
"2015-02-18",99.369705,100.056129,99.207634,99.741516,2377700,90.081177
"2015-02-19",99.407837,100.094269,99.169495,99.817787,2057400,90.150047
"2015-02-20",99.712921,100.475616,98.750015,100.447014,3539600,90.718353
"2015-02-23",100.389809,100.389809,99.255302,99.512711,3226100,89.874512
"2015-02-24",98.988358,99.665253,98.750015,99.43644,2467200,90.275101
"2015-02-25",99.245766,99.93219,99.217163,99.522247,2248100,90.352997
"2015-02-26",99.341103,99.493645,98.60701,98.80722,1997700,89.70385
"2015-02-27",98.530739,99.026489,97.939651,97.98732,3141500,88.959503
"2015-03-02",97.98732,99.751053,97.748978,99.703384,3346200,90.517456
"2015-03-03",99.036026,99.531776,98.769081,99.188568,2606600,90.050064
"2015-03-04",99.493645,99.493645,97.644104,98.244728,2628800,89.193184
"2015-03-05",98.883484,98.997894,98.206596,98.320999,2352500,89.262421
"2015-03-06",97.539238,97.977783,96.862343,97.119751,2587800,88.17186
"2015-03-09",97.386696,98.673744,97.24369,98.330536,2604200,89.271095
"2015-03-10",97.377167,97.625038,96.452393,96.452393,3150100,87.565979
"2015-03-11",96.547729,96.738403,95.889908,95.956642,2589500,87.115913
"2015-03-12",96.280785,97.787109,96.280785,97.682243,2732000,88.682526
"2015-03-13",97.596436,97.672707,95.622963,96.452393,2717100,87.565979
"2015-03-16",96.767006,98.054054,96.662132,97.98732,2345800,88.959503
"2015-03-17",97.272293,97.729912,97.091156,97.443901,1940200,88.466133
"2015-03-18",97.224625,99.398308,96.471458,98.997894,3103400,89.876961
"2015-03-19",98.454468,98.759552,97.691772,98.216125,2347400,89.167221
"2015-03-20",98.873955,101.200172,98.769081,100.485146,10450000,91.227173
"2015-03-23",100.475616,100.475616,99.074158,99.43644,4217700,90.275101
"2015-03-24",99.245766,99.941727,98.883484,99.207634,2516300,90.067375
"2015-03-25",99.541313,99.541313,97.167419,97.176956,2589400,88.223801
"2015-03-26",96.652603,97.825249,96.175919,97.405762,2913000,88.431511
"2015-03-27",97.348564,98.244728,97.253227,98.158928,3345200,89.115288
"2015-03-30",98.873955,100.199135,98.750015,100.017998,2711800,90.803101
"2015-03-31",99.388771,99.93219,98.950226,99.445976,2885400,90.283768
"2015-04-01",99.198097,99.245766,97.834778,98.425873,2779200,89.357643
"2015-04-02",98.549805,99.159966,98.015923,98.683281,2136100,89.591339
"2015-04-06",98.025452,100.161003,97.949188,99.617584,2305400,90.43956
"2015-04-07",99.493645,99.960793,99.274368,99.274368,1918300,90.127953
"2015-04-08",99.1409,99.855927,98.664215,99.007423,2187500,89.885612
"2015-04-09",99.01696,99.751053,98.626076,99.522247,2052000,90.352997
"2015-04-10",99.884521,100.008461,99.121826,99.817787,2209800,90.621323
"2015-04-13",99.445976,99.770119,98.464005,98.464005,2938800,89.392265
"2015-04-14",98.168457,98.721413,97.701309,98.435402,2293700,89.366295
"2015-04-15",98.912086,99.379242,98.664215,98.950226,2331300,89.833702
"2015-04-16",98.416336,99.3125,98.244728,99.074158,3524500,89.946205
"2015-04-17",98.206596,98.52121,96.156853,96.95768,7044600,88.024712
"2015-04-20",97.386696,98.044525,97.329498,97.796646,3193100,88.786385
"2015-04-21",97.90152,98.168457,96.309387,96.604935,3313000,87.704475
"2015-04-22",96.509598,97.57737,96.309387,97.424835,3492100,88.44883
"2015-04-23",97.224625,98.616547,96.976746,98.206596,3388400,89.158577
