"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2009-04-13",32.841885,34.263187,32.672047,33.941383,4255600,23.843321
"2009-04-14",33.610641,33.610641,32.502205,32.886581,5164600,23.102337
"2009-04-15",32.350243,32.877644,31.778145,32.770374,3755200,23.020706
"2009-04-16",32.645229,34.96043,32.645229,34.450905,4378600,24.201246
"2009-04-17",34.629684,35.532524,34.102283,35.335869,3989000,24.822935
"2009-04-20",35.076637,35.112392,34.433029,34.844223,4257400,24.477558
"2009-04-21",33.986076,35.085575,33.986076,34.969368,4932700,24.565462
"2009-04-22",34.540295,36.83762,34.531357,35.988415,6085400,25.28133
"2009-04-23",36.211887,36.649899,34.987247,35.925842,3560500,25.237371
"2009-04-24",36.211887,36.596268,35.326927,35.505707,4594200,24.942236
"2009-04-27",34.996185,35.353745,33.816238,34.441967,3618400,24.194975
"2009-04-28",34.298943,35.219662,33.995018,34.066528,2618600,23.931236
"2009-04-29",34.263187,34.316822,32.71674,32.841885,3944100,23.07094
"2009-04-30",33.405045,34.424088,32.940216,33.047482,4059400,23.215374
"2009-05-01",33.288837,33.33353,32.019497,32.287666,2933400,22.681606
"2009-05-04",32.323425,34.772709,32.323425,34.39727,3129400,24.163576
"2009-05-05",34.003956,35.309052,33.771542,34.808468,2581000,24.452433
"2009-05-06",35.174965,35.3895,33.413982,33.807297,2925800,23.749126
"2009-05-07",34.209553,34.754833,32.967033,33.127934,3700400,23.271881
"2009-05-08",33.51231,33.887749,31.947987,32.198277,3605600,22.618816
"2009-05-11",31.849657,32.529022,31.232866,32.126766,3501300,22.568577
"2009-05-12",32.260853,32.511143,30.732283,31.188171,3322100,21.909233
"2009-05-13",30.616076,30.83955,29.427189,29.838383,3424500,20.961025
"2009-05-14",29.847321,31.223927,29.847321,30.66077,2649900,21.538742
"2009-05-15",30.589258,31.250744,30.303209,30.481991,2054400,21.413151
"2009-05-18",30.776978,31.921169,30.553501,31.903292,2006700,22.411596
"2009-05-19",32.010559,32.46645,31.161354,31.590425,2769400,22.191805
"2009-05-20",31.947987,32.672047,31.01833,31.098782,2599500,21.84643
"2009-05-21",30.66077,31.286501,29.641724,29.883078,2586000,20.992422
"2009-05-22",29.94565,30.0261,28.881908,29.534456,3053200,20.747522
"2009-05-26",29.248407,32.144646,29.06069,31.858597,3898300,22.380192
"2009-05-27",31.867535,32.806129,31.223927,31.706633,3856800,22.273449
"2009-05-28",32.019497,32.591595,30.973635,31.63512,2626300,22.223206
"2009-05-29",31.760267,32.394936,31.143476,32.332363,2739700,22.713001
"2009-06-01",32.868702,34.05759,32.743557,33.6017,2658300,23.604698
"2009-06-02",33.521252,33.521252,32.591595,33.011726,2362600,23.190248
"2009-06-03",32.591595,32.958092,31.894352,32.430691,2793400,22.782078
"2009-06-04",32.663105,32.770374,30.93788,31.322256,3216500,22.003426
"2009-06-05",31.82284,32.028439,31.027269,31.223927,1808000,21.934351
"2009-06-08",31.161354,31.179232,30.178064,30.535624,3993300,21.450823
"2009-06-09",30.642893,31.241804,30.499868,30.92,2018200,21.720846
"2009-06-10",31.438463,31.474218,29.94565,30.258514,2080000,21.256166
"2009-06-11",30.303209,30.598198,29.310982,29.471884,2990900,20.703566
"2009-06-12",29.355677,30.240637,29.203712,30.21382,2265300,21.224768
"2009-06-15",29.784748,30.356844,29.302042,30.276394,2963300,21.268723
"2009-06-16",30.428356,30.499868,29.462944,29.561274,2582200,20.766361
"2009-06-17",29.516579,30.187002,28.890848,29.588091,2704500,20.785198
"2009-06-18",29.588091,30.419416,28.828276,29.981405,2757300,21.061495
"2009-06-19",30.428356,31.304379,30.267454,31.01833,3298300,21.789921
"2009-06-22",30.535624,31.420586,30.12443,30.607136,5075800,21.501059
"2009-06-23",30.696526,31.036207,29.382492,29.498699,5687100,20.722401
"2009-06-24",28.747824,29.731113,28.33663,28.551167,10422400,20.056767
"2009-06-25",28.32769,29.793688,28.32769,29.302042,5782600,20.584253
"2009-06-26",29.024933,29.391432,28.649494,28.792519,3989500,20.226326
"2009-06-29",28.971298,30.338966,28.864031,30.195942,3590100,21.212208
"2009-06-30",30.195942,30.544563,29.302042,29.480822,3456500,20.709841
"2009-07-01",29.802626,30.687588,29.516579,30.455173,2689300,21.394312
"2009-07-02",29.95459,30.070795,29.516579,29.552334,1947900,20.76008
"2009-07-06",29.462944,29.820503,29.04281,29.695358,2919500,20.86055
"2009-07-07",29.847321,29.847321,28.685251,28.738886,2530400,20.188644
"2009-07-08",28.676311,29.266287,28.42602,28.926603,2671300,20.479767
"2009-07-09",29.105385,29.257347,28.452837,29.015993,2134800,20.543056
"2009-07-10",28.747824,29.570211,28.560104,28.926603,2048800,20.479767
"2009-07-13",28.917665,29.31992,28.33663,29.221592,2370000,20.688618
"2009-07-14",29.328859,30.178064,28.855091,30.115492,3749600,21.321487
"2009-07-15",30.392599,30.392599,29.480822,29.784748,3419800,21.087336
