"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2012-01-10",36.134998,36.43,35.669998,36.345001,1423600,32.918785
"2012-01-11",36.25,37,36.25,36.465,1168200,33.027473
"2012-01-12",38.924999,40.279999,38.700001,40.099998,6574400,36.319805
"2012-01-13",40.025002,40.564999,39.950001,40.279999,2491200,36.482838
"2012-01-17",40.125,40.279999,39.955002,40.240002,1811600,36.446609
"2012-01-18",40.285,40.66,40.02,40.645,1264400,36.813423
"2012-01-19",40.82,40.990002,40.150002,40.215,2196600,36.42395
"2012-01-20",40.255001,40.43,39.724998,39.994999,896200,36.224709
"2012-01-23",40.02,40.650002,39.52,40.244999,1068200,36.451122
"2012-01-24",40.075001,40.415001,40.049999,40.349998,840200,36.546227
"2012-01-25",40.400002,40.549999,40.119999,40.400002,1085400,36.591522
"2012-01-26",40.654999,40.875,39.625,39.919998,1043800,36.156773
"2012-01-27",39.974998,40.474998,39.595001,40.209999,681800,36.419441
"2012-01-30",40.189999,40.700001,40.009998,40.445,1107400,36.632286
"2012-01-31",40.689999,41.25,40.154999,40.384998,1490400,36.577938
"2012-02-01",40.5,40.919998,40.240002,40.895,1937800,37.039867
"2012-02-02",40.459999,41.25,39.529999,39.935001,3415800,36.170357
"2012-02-03",40.27,40.825001,40.224998,40.605,1407600,36.777195
"2012-02-06",40.255001,41.035,40.25,41.025002,2331400,37.157604
"2012-02-07",41.174999,43.564999,41.040001,42.540001,4061000,38.529781
"2012-02-08",42.665001,42.740002,41.355,41.724998,1436800,37.791618
"2012-02-09",41.875,42.145,41.215,41.654999,1075400,37.728218
"2012-02-10",41.23,41.700001,41.215,41.540001,947800,37.624058
"2012-02-13",42.049999,42.400002,41.764999,42.325001,1088400,38.335056
"2012-02-14",42.169998,42.264999,41.805,42.264999,695800,38.280693
"2012-02-15",42.494999,42.5,41.5,41.830002,1273200,37.886726
"2012-02-16",41.860001,42.435001,41.610001,41.695,869200,37.764446
"2012-02-17",41.740002,42.014999,41.345001,41.380001,961800,37.479145
"2012-02-21",41.825001,42.23,41.5,41.685001,1258800,37.755386
"2012-02-22",41.509998,41.955002,41.299999,41.834999,1216600,37.891239
"2012-02-23",41.68,42.57,41.68,42.435001,1138400,38.545246
"2012-02-24",42.505001,42.544998,41.919998,42.165001,728200,38.299992
"2012-02-27",42.119999,43.985001,42.110001,43.709999,2283800,39.703365
"2012-02-28",43.955002,44.325001,42.900002,43.279999,1466200,39.312794
"2012-02-29",43.485001,43.599998,42.59,42.735001,1201200,38.817749
"2012-03-01",42.939999,44.189999,42.880001,43.75,1420800,39.739712
"2012-03-02",43.794998,43.919998,43.16,43.305,658200,39.33551
"2012-03-05",43.314999,43.445,42.849998,43.360001,824000,39.385456
"2012-03-06",42.744999,43.290001,42.560001,42.834999,1027600,38.908585
"2012-03-07",42.834999,43.830002,42.450001,43.75,1610000,39.739712
"2012-03-08",43.924999,44,43.505001,43.735001,844800,39.726082
"2012-03-09",43.705002,43.965,43.205002,43.685001,1095000,39.680664
